MLSAreaMajor,closed_sales,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio
,65077,700000.0,948769.7184114202,483.20565704183855,41.28539160097727,22.611811882471205
699 - Not Defined,54376,975000.0,1330260.7445738928,683.7606837606837,37.60602103869354,1.1941033221457193
SRCAR - Southwest Riverside County,25762,522105.0,506207.34102243616,274.1754285714286,48.76469218228399,57.70124352474097
252 - Riverside,6782,614950.0,573225.3652300206,346.9715202567188,42.78546151577706,1.008491157687819
248 - Corona,4373,695000.0,611466.9635261834,364.40997007140163,39.60301852275326,236.16385040458783
686 - Ontario,3871,571613.0,478711.85343838803,372.54901960784315,37.70007749935417,1.420904102305471
LAC - Lancaster,3842,442250.0,398740.0633914628,262.0545073375262,58.98568453930245,1.4880520556505383
274 - San Bernardino,3809,460000.0,428552.7101443949,326.97035692679975,44.03150433184563,1.9524267216218794
VIC - Victorville,3804,408000.0,465355.39059674024,221.94541130136145,50.77970557308097,18.999620182198935
688 - Rancho Cucamonga,3671,645000.0,583246.8567992372,394.90725343275494,34.193680196131844,1.2700142633060423
C14 - Santa Monica,3667,8450.0,1001185.9656394874,6.071428571428571,43.936733024270524,2487.5093211585686
263 - Banning/Beaumont/Cherry Valley,3518,460477.5,418854.09465605457,251.2733593337888,52.690733371233655,272.6329738195538
264 - Fontana,3285,605000.0,535104.3187336377,337.8213434969033,36.41095890410959,4.645126642596749
APPV - Apple Valley,3285,385000.0,349705.780304414,231.95876288659792,66.79665144596652,31.57873247669945
259 - Moreno Valley,3161,535000.0,469144.39481176843,292.84477784189266,37.56216387219234,1.9733206271782051
C05 - Westwood - Century City,3103,10018.0,953959.3541733806,5.544040449167905,47.89977441185949,0.9643543459308493
PLM - Palmdale,2958,480000.0,440452.2643678161,271.055179090029,52.834685598377284,1.3145469920238788
C10 - West Hollywood Vicinity,2869,6500.0,567786.58905542,5.046513862860987,52.29801324503311,1.311704267278133
WHLL - Woodland Hills,2728,640125.0,776669.683596041,474.0588520953919,39.66385630498534,1.479316879505567
C42 - Downtown L.A.,2637,3900.0,320979.51559347747,3.7631284916201118,66.61774744027304,0.9741604289750048
83 - Fullerton,2593,820000.0,790173.0535171616,542.7728613569321,27.311222522175086,1.101405369496262
313 - La Quinta South of HWY 111,2563,790000.0,1165475.5275887633,386.84719535783364,62.798283261802574,2.4025042915969554
