ListOfficeName,BuyerOfficeName,closed_sales,total_sales_volume,median_close_price,average_days_on_market,average_close_to_original_list_ratio
BayOne Real Estate Investment Corporation,SV Milestone,1,2330000.0,2330000.0,7.0,1.1159003831417624
Berkshire Hathaway HomeServices California Properties,"Crown Real Estate & Funding, Inc",1,2330000.0,2330000.0,55.0,0.951797385620915
Redfin,Northern Crest Inc.,1,2330000.0,2330000.0,20.0,0.9728601252609603
"eXp Realty of California, Inc.",Haynes Real Estate,1,2330000.0,2330000.0,0.0,1.0
Century 21 Realty Masters,Berkshire Hathaway HomeServices California Properties,3,2330000.0,845000.0,40.333333333333336,0.9738785625774473
RE/MAX Plaza Realty,RE/MAX Plaza Realty,2,2330000.0,1165000.0,6.5,0.9138528138528139
"Minka Hull, Broker","Minka Hull, Broker",3,2330000.0,720000.0,87.0,0.9050603065537975
"Pacifica Properties Group, Inc.",Merit Real Estate,1,2330000.0,2330000.0,13.0,0.9914893617021276
BESTARTING GROUP CORP,Realty One Group West,1,2330000.0,2330000.0,9.0,1.0639269406392695
Compass,VENIET Corp.,1,2330000.0,2330000.0,50.0,0.9321864372874575
Intero Real Estate Services,Starritt Realtors,2,2330000.0,1165000.0,12.5,1.1149318798774517
Investment Real Estate,KW Bay Area Estates,1,2330000.0,2330000.0,30.0,0.97571189279732
Premiere Real Estate,First Team Real Estate,2,2330000.0,1165000.0,16.5,0.9954818357586241
Success Realty Inc,Success Realty Inc,2,2330000.0,1165000.0,9.0,1.0467058654944652
Coldwell Banker Realty,"Richard Chung, Broker",1,2330000.0,2330000.0,7.0,1.0595725329695316
Vista Sotheby's International Realty,"Neil Kadakia, Broker",1,2330000.0,2330000.0,99.0,0.8636026686434396
Berkshire Hathaway HomeService,Presidential Incorporated,2,2330000.0,1165000.0,85.5,0.8729457988090197
Casa Bella Realty Group,Casa Bella Realty Group,3,2330000.0,630000.0,6.0,0.9755854509217738
Kollab Real Estate,LPT Realty,2,2330000.0,1165000.0,41.5,0.9622352646785299
Intero Real Estate Services,Team Spirit Realty,2,2330000.0,1165000.0,13.0,1.0409517383201594
Coldwell Banker Realty,C-21 Classic Estates,3,2330000.0,770000.0,43.333333333333336,0.9488046015204352
Redfin,SFRE Holdings Engel & Volkers,1,2330000.0,2330000.0,85.0,0.9712380158399333
Pinnacle Estate Properties,Keller Williams Realty Los Feliz,2,2330000.0,1165000.0,21.0,0.9682274247491639
Keller Williams Realty,Keller Williams North Valley,3,2329990.0,795000.0,30.0,1.0102853360719093
Sotheby's International Realty,"eXp Realty of Greater Los Angeles, Inc.",2,2329500.0,1164750.0,32.5,0.9696969696969697
Compass,Torrey Pines Development Group,2,2329112.0,1164556.0,30.0,0.9696056310766665
"Malik Real Estate Group, Inc.",Christie's International Real Estate Sereno,2,2329000.0,1164500.0,93.5,0.851635687732342
Coldwell Banker Realty,Synergy Real Estate,2,2329000.0,1164500.0,12.0,0.9828197348908997
ROA California Inc,HomeSmart Realty West,3,2329000.0,749000.0,20.666666666666668,0.9821483200027753
Homequest Real Estate,Circle Real Estate,3,2329000.0,879000.0,30.333333333333332,0.9718289154679559
Keller Williams Beach Cities,Coldwell Banker Realty,3,2329000.0,755000.0,68.0,0.9647011664908757
Coldwell Banker Realty,Luxuryhouses,3,2329000.0,799000.0,23.333333333333332,1.0403728041918996
Real Broker,San Diego Brightstar Realty,2,2329000.0,1164500.0,13.0,1.0160123039299975
Inspire Real Estate,Cherie Miller & Associates,7,2328300.0,310000.0,67.85714285714286,0.948653595028235
Keller Williams Thrive,Giant Realty Inc.,1,2328000.0,2328000.0,8.0,0.9781512605042016
"Breakwater Properties, Inc.",Golden Gate Sotheby's International Realty,1,2328000.0,2328000.0,3.0,1.0130548302872062
Outstanding Investment Co.,OUT OF AREA - NON MEMBER,3,2328000.0,730000.0,112.33333333333333,0.9688776145972408
Equity Union,Home Smart Realty Group,2,2328000.0,1164000.0,27.0,0.9873044370351372
All Merits Realty,All Merits Realty,2,2328000.0,1164000.0,7.0,0.9630448057400198
Varos Real Estate,Compass,2,2328000.0,1164000.0,9.5,1.2241785723431997
RE/MAX Gateway,Luxury Collective,2,2327500.0,1163750.0,8.0,1.0026386134075604
Berkshire Hathaway HomeService,RE/MAX City Real Estate,2,2327500.0,1163750.0,8.5,1.0054347826086958
Century 21 Affiliated,Premier Agency Real Estate Inc.,3,2327000.0,825000.0,13.666666666666666,0.9328733404660686
"Kathleen Rodriguez, Broker",BHHS Drysdale Properties,1,2326500.0,2326500.0,35.0,0.9324649298597194
RE/MAX PREMIER/ARCADIA,HOME TIMES REALTY,1,2326500.0,2326500.0,104.0,0.9343373493975904
Save4You Realty & Loan,Coldwell Banker Realty,1,2326500.0,2326500.0,6.0,1.0120497650948321
REDFIN,Coldwell Banker Realty,3,2326000.01,500000.0,116.66666666666667,0.942400516970749
Real Estate Places,"William Haugh, Broker",1,2326000.0,2326000.0,135.0,0.7753359177863927
Christie's AKG,Keller Williams Larchmont,1,2326000.0,2326000.0,5.0,1.1641641641641642
Compass,Executive Realty & Finance,1,2326000.0,2326000.0,11.0,0.9304
Beach Cities Real Estate,Beach Cities Real Estate,4,2326000.0,295500.0,55.25,0.892906089718748
Real Estate Experts,Realty Pro,1,2326000.0,2326000.0,24.0,0.974036850921273
Opendoor Brokerage Inc.,RE/MAX MASTERS REALTY,2,2326000.0,1163000.0,48.0,0.9483696822832526
KELLER WILLIAMS RIVERSIDE CENT,KELLER WILLIAMS REALTY,4,2326000.0,517500.0,5.25,1.0192432550429604
NET Properties,NET Properties,3,2325400.0,872400.0,104.33333333333333,0.9293479327689854
Connect California Homes,Christie's Intl RE Sereno,1,2325000.0,2325000.0,0.0,1.0449438202247192
Century 21 Masters,Playa Realty,1,2325000.0,2325000.0,347.0,0.93
Remax Optima,Americana Real Estate Services,1,2325000.0,2325000.0,63.0,0.8426966292134831
Cal American Homes,ROA California Inc,4,2325000.0,590000.0,30.75,0.9931011501978895
"Pinnacle Estate Properties, Inc.",Magic Realty,1,2325000.0,2325000.0,32.0,0.8946436816992458
Realty ONE Group Pacific,RE/MAX Connections,3,2325000.0,785000.0,38.333333333333336,0.9580963330659493
Think Boutiq Real Estate,Berkshire Hathaway Home Servic,1,2325000.0,2325000.0,5.0,1.0592255125284737
Christie's Intl Real Estate Se,"Bay Zone Realtors, Inc.",1,2325000.0,2325000.0,47.0,0.9692022944040553
Kismet Real Estate,KW Bay Area Estates,2,2325000.0,1162500.0,15.0,1.0762555530457045
Modern California House,"Douglas Elliman of CA, Inc.",1,2325000.0,2325000.0,18.0,0.9893617021276596
Re/Max Coastal Homes,Front Street Realty and Mtg,1,2325000.0,2325000.0,5.0,1.0333333333333334
The Agency,"Trust Properties USA,Inc",1,2325000.0,2325000.0,54.0,0.9489795918367347
Christie's International Real Estate Sereno,CHAMPION Real Estate,1,2325000.0,2325000.0,117.0,0.9318637274549099
Vintage Real Estate,The Agency,1,2325000.0,2325000.0,27.0,0.9789473684210527
MACCIOLA INC,Redfin,1,2325000.0,2325000.0,9.0,1.1689949358636584
Bay Area Homes,Compass,1,2325000.0,2325000.0,18.0,0.969557964970809
Keller Williams South Bay,Vista Sotheby's International Realty,2,2325000.0,1162500.0,33.5,1.0214285714285714
JohnHart Real Estate,1st Interstate Realtors,1,2325000.0,2325000.0,192.0,0.8942307692307693
Forerunner RE Investment,KW Bay Area Estates,1,2325000.0,2325000.0,6.0,1.0568181818181819
Coldwell Banker Realty,Capital Property Brokers,2,2325000.0,1162500.0,10.0,0.9866518353726363
Compass,1 Percent Lists SoCal,1,2325000.0,2325000.0,6.0,0.9897828863346104
BHHS PERRIE MUNDY REALTY GROUP,KELLER WILLIAMS REALTY,2,2325000.0,1162500.0,27.0,0.9339576177823861
Covington & Associates,Covington & Associates,3,2325000.0,725000.0,77.66666666666667,0.8539094650205762
Coldwell Banker Realty,Re/Max Capital,1,2325000.0,2325000.0,22.0,0.9914712153518124
Destiny Six Financial RE Mortg,Destiny Six Financial RE Mortg,2,2325000.0,1162500.0,104.0,0.9458333333333333
Jason Mitchell Real Estate,Tuscana Properties,1,2325000.0,2325000.0,27.0,0.9691538140892039
Compass,American Realty Associates,1,2325000.0,2325000.0,0.0,0.9957173447537473
"Rinetti & Co., REALTORS®","Paul Deol, Broker",1,2325000.0,2325000.0,36.0,0.9789473684210527
Rise Group Real Estate,Cush Real Estate,2,2325000.0,1162500.0,19.5,1.0587006079027357
RE/MAX Premier Realty,Redfin,2,2325000.0,1162500.0,50.0,0.9397078048509123
Renovation Realty,Swell Property,1,2325000.0,2325000.0,8.0,0.8945748364755676
Berkshire Hathaway HomeServices California Properties,The Metropolitan Group,1,2325000.0,2325000.0,37.0,0.9571840263482915
RE/MAX Select One,BK Platinum Properties,2,2325000.0,1162500.0,111.5,0.9677422479840663
Christie's Intl RE Sereno,Allison James Estates & Homes,2,2325000.0,1162500.0,15.5,0.9830917874396135
Pacific One Realty,Berkshire Hathaway HomeServices California Properties,1,2325000.0,2325000.0,2.0,1.0333333333333334
Ontrak Real Estate,Douglas Elliman,1,2325000.0,2325000.0,29.0,0.9707724425887265
Excel Realty,Engel & Volkers Danville,2,2325000.0,1162500.0,20.0,1.0462777674401198
Realty One Group AMR,eXp Realty of California,2,2325000.0,1162500.0,7.0,1.0610009112946508
Strand Hill Properties,Wembley's Inc.,1,2325000.0,2325000.0,10.0,1.1654135338345866
Americana Real Estate Srvs,Keller Williams Thrive,1,2325000.0,2325000.0,13.0,1.056818662190301
CONCIERGE REALTY GROUP,COLDWELL BANKER TOWN & COUNTRY,1,2325000.0,2325000.0,7.0,0.96875
The Hills Premier Realty,"American Dream Realty, Inc.",1,2325000.0,2325000.0,52.0,0.9341014526583322
Merit Real Estate,Epique Realty,1,2325000.0,2325000.0,141.0,0.8945748364755676
"2nd Avenue Sales & Marketing,",K.W. EXECUTIVE,1,2325000.0,2325000.0,0.0,1.0
"Sail Properties, Inc.","eXp Realty of California, Inc.",1,2325000.0,2325000.0,52.0,0.9318637274549099
ELEMENT RE INC,Coldwell Banker Realty,3,2325000.0,875000.0,36.0,0.9860503541290183
Meraki Real Estate,"Bay Town Brokers, Inc.",1,2325000.0,2325000.0,29.0,0.9307445956765412
Alliance West Financial Corp.,Regency Real Estate Brokers,1,2325000.0,2325000.0,55.0,1.0
Intero Real Estate Services,"William Lou, Broker",1,2325000.0,2325000.0,310.0,0.9489795918367347
Mendocino Realty Company,Mendo Sotheby's International Realty,2,2325000.0,1162500.0,5.0,0.9402618657937807
Home Solutions Realty,KW Silicon City,1,2325000.0,2325000.0,48.0,0.9736180904522613
Luxe Real Estate,Surterre Properties Inc,1,2325000.0,2325000.0,10.0,0.9914712153518124
"eXp Realty of California, Inc.",ERA Ranch & Sea Realty,3,2325000.0,670000.0,12.666666666666666,0.9625277661486905
NA Nationwide Mortgage,,1,2325000.0,2325000.0,18.0,0.9375
Coast Real Estate Services,First Team Real Estate,1,2325000.0,2325000.0,13.0,1.0
T.N.G. Real Estate Consultants,Berkshire Hathaway Hm Ser,2,2325000.0,1162500.0,4.0,1.0319148936170213
"Domenic Antonacci, Broker","Domenic Antonacci, Broker",1,2325000.0,2325000.0,67.0,0.9748427672955975
Team Forss Realty Group,Berkshire Hathaway HomeService,3,2325000.0,885000.0,33.666666666666664,0.9977489177489177
The Keystone Team,"Vine Property Group, Inc.",1,2325000.0,2325000.0,17.0,0.96875
NDA Real Estate,Douglas Elliman,1,2325000.0,2325000.0,41.0,0.9687504036460015
Pemberley Realty Inc.,Century 21 Affiliated,1,2325000.0,2325000.0,20.0,0.9303721488595438
Redfin Corporation,San Diego Castles Realty,2,2325000.0,1162500.0,22.0,0.9931628663108034
ALIGN HOMES,NONMEMBER MRML,4,2325000.0,512500.0,32.25,1.0581925693405454
"Douglas Elliman of CA, Inc.",Douglas Elliman,1,2325000.0,2325000.0,2.0,1.1654135338345866
C-21 INVERNESS,ReMax Tiffany Real Estate,1,2325000.0,2325000.0,42.0,0.9493670886075949
"Donna Blanchard, Broker","Donna Blanchard, Broker",3,2325000.0,575000.0,26.333333333333332,0.9332525981313365
COLDWELL BANKER SKY RIDGE REALTY,"Palm Realty Boutique, Inc.",1,2325000.0,2325000.0,210.0,0.8643122676579925
Paradise Real Estate Services,JZ REALTY,1,2325000.0,2325000.0,1.0,1.2243285939968405
Seven Gables Real Estate,KAM Financial Realty,3,2325000.0,655000.0,8.0,1.077261648256911
Seven Gables Real Estate,Keller Williams San Diego Metro,1,2325000.0,2325000.0,93.0,0.8617494440326168
Best Homes Team,Keller Williams Realty,2,2325000.0,1162500.0,8.0,1.0104592049337446
Casa Divina Real Estate,Home Page Real Estate,1,2325000.0,2325000.0,6.0,1.1689291101055808
Intero Real Estate Services,Livermore Valley RealEstate,1,2325000.0,2325000.0,71.0,0.9691538140892039
"eXp Realty of Northern California, Inc.",Cheetah,1,2325000.0,2325000.0,7.0,1.0572987721691678
Desert Sotheby's Int'l Realty,Keller Williams Realty,4,2324995.0,537500.0,69.75,0.9978526581236169
Compass,United Real Estate Professionals,2,2324900.0,1162450.0,27.0,1.044087944039442
Sage Legacy Properties,San Diego,1,2324800.0,2324800.0,46.0,0.9393131313131313
"Toll Brothers, Inc.","LPT Realty, Inc",1,2324000.0,2324000.0,22.0,0.9299719887955182
Re/Max Home and Investment,NONMEMBER MRML,5,2324000.0,332000.0,36.4,0.9787763663730203
HomeSmart,Realty Masters & Associates,4,2324000.0,414500.0,46.75,0.9780902511586519
Berkshire Hathaway HomeServices California Properties,Re/Max Desert Properties,4,2324000.0,589500.0,82.75,1.0724507305387516
Keller Williams Palos Verdes,Fred DiBernardo,2,2324000.0,1162000.0,20.5,0.9421915444348576
"eXp Realty of California, Inc.",ROA California Inc.,3,2324000.0,585000.0,28.666666666666668,1.0140228196187149
RE/MAX Gold Coast-Beach Marina Office,"Pinnacle Estate Properties, Inc.",3,2324000.0,749000.0,44.0,0.9519386658871895
Seven Gables Real Estate,KELLER WILLIAMS RIVERSIDE CENT,3,2324000.0,841000.0,23.0,0.9906224082092466
RE/MAX Success,Re/Max Pines by the Sea,2,2323700.0,1161850.0,67.0,0.9133726000653473
Coldwell Banker West,Acropolis Enterprise,2,2323500.0,1161750.0,15.0,0.9951729870245786
Sotheby's International Realty,Peninsula Properties,1,2323000.0,2323000.0,13.0,0.969937369519833
Vista Sotheby's Int'l Realty,Platinum Properties Real Estate,1,2323000.0,2323000.0,15.0,0.9885106382978723
eXp Realty of California,Rodeo Realty,3,2323000.0,878000.0,73.66666666666667,0.986447299839258
Re/Max Accord,CalHomes,1,2322999.0,2322999.0,7.0,1.0104388864723792
"Innovate Realty, Inc.",Re/Max Top Producers,2,2322500.0,1161250.0,62.5,5.181888010408327
Village Associates Real Estate,OUTSIDE SALE,2,2322500.0,1161250.0,0.0,1.0
Century 21 Real Estate Alliance,EXP Realty of California Inc,3,2322000.0,745000.0,21.0,0.9995048934945308
Wannebo Real Estate Group,Sun & Company Inc,1,2322000.0,2322000.0,6.0,1.0324588706091595
"Crosby Doe Associates, Inc.",Berkshire Hathaway HomeServices California Properties,1,2322000.0,2322000.0,63.0,0.9288
MBI Realty Group,Intero Real Estate Services,1,2321800.0,2321800.0,92.0,0.9294635708566853
Help-U-Sell Julian Team,Unknown Office,5,2321000.0,475000.0,49.2,0.9967192283765905
San Diego Castles Realty,Tamara Z Real Estate,1,2321000.0,2321000.0,11.0,1.0315555555555556
Coldwell Banker Realty,RE/MAX FREEDOM,4,2320000.0,600000.0,45.75,0.94163542972953
California Lifestyle Realty,OUT OF AREA,2,2320000.0,1160000.0,67.5,0.8574364332985023
RE/MAX Gateway,Redfin Corporation,3,2320000.0,865000.0,36.666666666666664,1.0003534302771873
Keller Williams Coastal Prop,Keller Williams Coastal Prop,3,2320000.0,750000.0,50.333333333333336,0.977562666932099
Coldwell Banker Realty,Dream Makers Realty,1,2320000.0,2320000.0,7.0,0.9206349206349206
BERKSHIRE HATH HM SVCS CA PROP,COLDWELL BANKER LEADERS,4,2320000.0,537500.0,66.0,0.971843696930591
Visionaire Real Estate,Harvest Realty Development,1,2320000.0,2320000.0,4.0,1.0642201834862386
RE/MAX Success,"Compass California, Inc.-PB",1,2320000.0,2320000.0,16.0,0.9768421052631578
Capital Team Real Estate Svc,Keller Williams Real Estate Services,1,2320000.0,2320000.0,31.0,1.0131004366812226
eXp Realty of California Inc,Block Change Real Estate,2,2320000.0,1160000.0,17.5,1.0287468787533978
Anvil Real Estate,Casa Blanca Realty,1,2320000.0,2320000.0,6.0,0.9670696123384743
Realty ONE Group United,eXp Realty of Greater Los Angeles,3,2320000.0,815000.0,20.333333333333332,0.9908109989557953
LPT Realty,"Austin Ball, Broker",2,2320000.0,1160000.0,0.0,1.0
First Team Real Estate,EXP REALTY,3,2320000.0,785000.0,17.0,1.036969648816145
Keller Williams Realty-Silicon Valley,Grand Realty Group,1,2320000.0,2320000.0,11.0,1.0545991432291097
Excel Realty,"Golden State Fine Homes, Inc",1,2320000.0,2320000.0,7.0,1.2210526315789474
Pacific Sotheby's Int'l Realty,J & S Realty,2,2320000.0,1160000.0,41.0,0.9405201411108377
Talavera Real Estate,Plus Real Estate Group,1,2320000.0,2320000.0,1.0,1.0108932461873639
"eXp Realty of Northern California, Inc.","AEZ Investment, Inc.",1,2320000.0,2320000.0,12.0,0.9287429943955164
Berkshire Hathaway HomeService,RE/MAX of Santa Clarita,2,2320000.0,1160000.0,69.0,0.9420164062765921
Coldwell Banker Realty,Tourvia,1,2320000.0,2320000.0,80.0,0.9674728940783986
Nest Real Estate,Keller Williams Realty,3,2320000.0,835000.0,80.33333333333333,0.9608505490415039
Quezada Realty Inc.,Quezada Realty Inc.,4,2320000.0,580000.0,14.75,1.0
Revel Real Estate,BESTARTING GROUP CORP,1,2320000.0,2320000.0,10.0,0.9872340425531915
Elevate Group,YES Equity,1,2320000.0,2320000.0,6.0,1.1605802901450726
T.N.G. Real Estate Consultants,reframe,2,2320000.0,1160000.0,7.0,1.0674504291525568
Keller Williams Tri-Valley,Alpha Point Real Estate,1,2320000.0,2320000.0,8.0,1.1605802901450726
Compass,Unico Private Brokers,1,2320000.0,2320000.0,7.0,1.166415284062343
"Beach City Brokers, Inc.",ShoppingSDHouses,3,2320000.0,765000.0,13.0,1.0818203555268697
KW Advisors,"Richard Chung, Broker",1,2320000.0,2320000.0,12.0,1.105815061963775
Keller Williams Realty Irvine,Lifestyle Homes,1,2320000.0,2320000.0,90.0,0.9098039215686274
The Agency,Ayzar Inc.,1,2320000.0,2320000.0,31.0,0.9670696123384743
Keller Williams Beverly Hills,"Sync Brokerage, Inc.",1,2320000.0,2320000.0,0.0,1.0
The Browar Group,The Browar Group,3,2320000.0,635000.0,51.0,0.9771789238302383
Blair Properties,Richardson Sotheby's International Realty,1,2320000.0,2320000.0,4.0,1.162907268170426
"eXp Realty of Southern Ca, Inc",eXp Realty of Greater Los Angeles,3,2320000.0,765000.0,8.333333333333334,1.0392599564583458
Sotheby's International Realty,Hampar Properties,1,2320000.0,2320000.0,16.0,1.008695652173913
RE/MAX Parkside Real Estate,Central Coast Property Sales,3,2320000.0,700000.0,28.333333333333332,0.9617727643224154
Weichert SoCal,Century 21 Affiliated,3,2320000.0,880000.0,30.666666666666668,0.9950366588154349
Realty ONE Group Future,KW Santa Clara Valley Inc,3,2320000.0,640000.0,16.666666666666668,1.035509246819976
Keller Williams Real Estate Services,American Home Realty,1,2320000.0,2320000.0,23.0,1.0292812777284828
Comfort Real Estate Services Inc.,COMPASS,1,2320000.0,2320000.0,10.0,1.083605791686128
MY LOCAL REALTY SEVICES,Compass,2,2320000.0,1160000.0,12.5,1.016841375057808
First Team Real Estate,Home Smart Realty Group,3,2320000.0,790000.0,8.333333333333334,1.045362318480598
Compass,"Hobby Associates, Inc",2,2320000.0,1160000.0,42.5,0.9565180102915952
Coldwell Banker,Golden Gate Sothebys Intl Rlty,1,2320000.0,2320000.0,19.0,1.3663133097762072
Investment Real Estate,Valley Brokers on Main,1,2320000.0,2320000.0,20.0,0.9287429943955164
Compass,The Partners Real Estate,2,2320000.0,1160000.0,68.5,0.9792740432064919
Coldwell Banker Realty,Alta Realty Group,3,2320000.0,535000.0,64.66666666666667,0.9503250313283208
Associated Realtors,Universal Elite Inc.,1,2320000.0,2320000.0,6.0,1.0175438596491229
Wesely & Associates,Sun & Company Inc,1,2320000.0,2320000.0,95.0,0.8595776213412375
Partners Real Estate Group,eXp Realty of California Inc,2,2320000.0,1160000.0,7.5,1.033284878913722
"Skoglin Real Estate, Inc.",ReMax Direct,1,2320000.0,2320000.0,29.0,0.988117040759828
eXp realty of Greater Los Angeles,Harvest Realty Development,1,2320000.0,2320000.0,79.0,0.8754716981132076
Morrigan Properties Inc.,Keller Williams Realty Irvine,1,2320000.0,2320000.0,20.0,0.9359035180290517
KELLER WILLIAMS REALTY,REAL BROKER,5,2319500.0,585000.0,62.8,0.998633819614765
Keller Williams Realty Central Coast,Invest SLO,3,2319000.0,729000.0,147.0,0.5897422802983189
California Land & Home by KW,Century 21 Select Real Estate,5,2319000.0,499000.0,44.4,0.9503910080757745
ReMax 2000 Realty,eXp Realty of Greater Los Angeles,2,2319000.0,1159500.0,43.0,1.0001567754392329
Lyst Realty,Compass,1,2319000.0,2319000.0,29.0,0.968267223382046
Coldwell Banker Realty,Mint Real Estate,2,2319000.0,1159500.0,17.5,1.0
Livel Real Estate,Bon Life Real Estate,1,2318500.0,2318500.0,8.0,0.9865957446808511
Jennifer Mei Lee,Coldwell Banker Realty,1,2318000.0,2318000.0,6.0,1.0
Home Advantage Corp,Compass,3,2318000.0,738000.0,62.333333333333336,0.9619762607701441
"Drive Real Estate, Inc.","Drive Real Estate, Inc.",5,2318000.0,594000.0,27.8,1.0065313577292396
Intero Real Estate Services,Silicon Valley Dynamics Inc,1,2318000.0,2318000.0,5.0,1.1659959758551308
Turner Real Estate,Willis Allen Real Estate,2,2318000.0,1159000.0,9.5,1.0358472401839465
Cornerstone Realty Group,JohnHart Real Estate,1,2318000.0,2318000.0,15.0,1.1096813232686482
Lincoln Realty Group,Gemstone Real Estate,1,2318000.0,2318000.0,34.0,0.9283139767721266
Pacific Home Brokers,"Prevu Real Estate, Inc.",2,2318000.0,1159000.0,35.0,0.8922247882986913
Saltbox Properties,Compass,2,2318000.0,1159000.0,11.0,0.9884526558891455
Golden Valley Real Estate Group,Golden Valley Real Estate Group,7,2318000.0,330000.0,24.714285714285715,0.9311618249229128
Exp Realty of California Inc,RE/MAX 2000 REALTY,2,2318000.0,1159000.0,17.0,0.9850227137681854
"West Shores Realty, Inc.",eXp Realty of Greater Los Angeles,2,2318000.0,1159000.0,40.5,1.042191369606004
Home Team Realty,BerkshireHathaway HomeServices,1,2317500.0,2317500.0,77.0,0.9307228915662651
Oscar Tortola Group Real Estate Services,Real Broker,4,2317000.0,561000.0,45.25,0.9854210549749657
Principle Real Estate Group,Keller Williams San Diego Metro,1,2317000.0,2317000.0,14.0,0.927170868347339
Compass,Heritage REI Inc.,4,2317000.0,571000.0,14.25,0.9930343302302179
Excel Realty & Mortgage Inc,,3,2317000.0,745000.0,20.333333333333332,1.0109105831778666
Real Estate eBroker Inc,Davis & Company Realtors,1,2317000.0,2317000.0,6.0,1.0536607548885857
D R Horton America's Builder,Century 21 Allstars,4,2316920.0,560698.5,20.0,1.0185246120740252
Seven Gables Real Estate,"DOUGLAS ELLIMAN OF CALIFORNIA, INC.",1,2316915.0,2316915.0,35.0,0.928623246492986
Berkshire Hathaway HomeServices California Properties,Keller Williams Hollywood Hills,2,2316000.0,1158000.0,76.0,0.9803781979977753
Realty ONE Group Southwest,Rainey Realty,2,2316000.0,1158000.0,18.0,0.9995318035671804
Douglas Elliman of California,Engel & Volkers Dana Point,1,2315000.0,2315000.0,6.0,1.028888888888889
Coldwell Banker Realty,Heritage Properties,1,2315000.0,2315000.0,5.0,1.0522727272727272
Everhome,ABG Homes Realty,1,2315000.0,2315000.0,13.0,0.9856096730245232
Realty Executives Desert Lifestyles,Realty Executives Desert Lifestyles,3,2315000.0,600000.0,156.66666666666666,0.8767281481377172
Golden Gate Sotheby's International Realty,KW Silicon City,2,2315000.0,1157500.0,28.5,0.9587040766682051
Keller Williams Realty Irvine,SunCoast Real Estate Group,1,2315000.0,2315000.0,60.0,0.9263705482192878
The Agency,Legacy Real Estate & Assoc.,2,2315000.0,1157500.0,27.0,0.963369598451179
First Team Real Estate,Heather Applegate,2,2315000.0,1157500.0,15.0,1.0033326797901267
Century 21 Affiliated,eXp Realty of Southern Calif.,3,2315000.0,725000.0,13.333333333333334,1.035037018963852
reframe,,3,2315000.0,850000.0,8.666666666666666,1.1160327237469811
KW Temecula,Berkshire Hathaway HomeService,2,2315000.0,1157500.0,0.5,1.017536231884058
Keller Williams Exclusive Properties,"Real Brokerage Technologies, Inc.",3,2315000.0,790000.0,42.0,0.9851518684626367
First Team Real Estate,American Realty Services,2,2315000.0,1157500.0,34.5,0.9487604976386056
KW Bay Area Estates,NextHome Lifestyles,2,2315000.0,1157500.0,9.0,1.0718935726252785
Pinnacle Estate Properties Inc,Keller Williams Westlake Village,2,2315000.0,1157500.0,5.5,1.0486045593679805
Tower Agency,CENTURY 21 CITRUS REALTY INC,2,2315000.0,1157500.0,58.5,0.9985302718137095
"The Property Lab, Inc.",Compass,1,2315000.0,2315000.0,0.0,0.8907272027702963
Fiv Realty Co.,EXP REALTY OF CALIFORNIA INC,3,2315000.0,680000.0,13.666666666666666,1.002254236506151
Rodeo Realty,TOP PRODUCERS REALTY PARTNERS,2,2315000.0,1157500.0,46.0,0.9518894438589256
Pavicich Realty,,1,2315000.0,2315000.0,123.0,0.8921001926782274
Choice Valley Real Estate,Choice Valley Real Estate,5,2314500.0,469000.0,146.0,0.991995179826836
RE/MAX Gold Coast REALTORS,COMPASS,2,2314000.0,1157000.0,31.5,0.9655280898876404
Piini Realty,"Las Palmas Realty & Lending, Inc",2,2314000.0,1157000.0,6.0,1.0185004516711835
eXp Realty of California Inc,Coldwell Banker Home Source,4,2314000.0,569500.0,63.25,0.9375501724987381
"eXp Realty of California, Inc.","Willow & Birch Realty, Inc",5,2314000.0,500000.0,12.6,1.0073104826272947
American Real Estate Group,Compass,3,2313900.0,595000.0,32.333333333333336,0.9594129749658805
RE/MAX TIME REALTY,RE/MAX FREEDOM,5,2313400.0,420000.0,81.8,0.9949349106073612
Opendoor Brokerage Inc.,"Jeff Nelson, Broker",1,2313000.0,2313000.0,64.0,0.9557851239669422
Re/max Executive,Re/max Executive,7,2313000.0,344000.0,52.57142857142857,0.8940414245776471
The Avenue Home Collective,Shallal Realty Group,2,2313000.0,1156500.0,12.0,0.972476834941751
CENTURY 21 EXPERIENCE,RE/MAX CHAMPIONS,3,2312700.0,725000.0,5.0,1.0694351230922556
eXp Realty of California Inc,"Anderson Christie, Inc.",2,2312400.0,1156200.0,15.0,0.9746960791187209
Homequest Real Estate,First Team Real Estate,4,2312330.0,575000.0,18.0,0.9993949275362319
Bayside,Bennion Deville Homes,3,2312250.0,668250.0,67.33333333333333,0.934740478659327
"Everhome Realty, Inc.",Seven Gables Real Estate,1,2312000.0,2312000.0,33.0,1.0391011235955057
Century 21 Allstars,Century 21 Union Realty,3,2312000.0,775000.0,50.0,0.9945680292107758
Golden Gate Sotheby's International Realty,Rainmaker Real Estate,1,2312000.0,2312000.0,7.0,1.0518653321201092
KW Thrive Santa Cruz,Room Real Estate,1,2312000.0,2312000.0,8.0,1.2174828857293312
"Shakeel Ahmed, Broker","Shakeel Ahmed, Broker",3,2312000.0,790000.0,36.666666666666664,1.129597889725278
Comfort Real Estate Services,Comfort Real Estate Services,4,2312000.0,556000.0,37.5,0.9626523376523377
