ListOfficeName,BuyerOfficeName,closed_sales,total_sales_volume,median_close_price,average_days_on_market,average_close_to_original_list_ratio
COMPASS,COMPASS,286,415533443.0,1182348.5,26.47902097902098,1.0285536557804063
Ashby & Graff,i2i Real Estate & Mortgage,1,412000000.0,412000000.0,4.0,1017.283950617284
"Anne Ruth O Brey, Broker","Anne Ruth O Brey, Broker",1,403500000.0,403500000.0,23.0,896.8659702156035
USAFC Realty,USAFC Realty,4,402680000.0,1060000.0,34.25,250.7215667311412
Berkshire Hathaway HomeService,Berkshire Hathaway HomeService,243,401691707.0,1300000.0,35.73662551440329,0.9670725077873094
"Pinnacle Estate Properties, Inc.","Pinnacle Estate Properties, Inc.",349,394172380.0,950000.0,29.681948424068768,1.010437810923158
Compass,KW Advisors,194,388398019.0,1589000.0,22.175257731958762,1.0271261258295385
Compass,eXp Realty of California Inc,284,380792527.22,1177500.0,29.204225352112676,1.0376522151874226
Christie's International Real Estate Sereno,Coldwell Banker Realty,172,378511649.0,1797425.0,23.66860465116279,1.0328788362525592
Carolwood Estates,Compass,79,376103264.0,3380000.0,43.607594936708864,0.9585933382154986
Baldwin Property Management,Key Realty,1,375000000.0,375000000.0,7.0,1153.8461538461538
Compass,Pacific Sotheby's Int'l Realty,124,371491625.0,2330000.0,41.403225806451616,0.9600651243450707
Coldwell Banker Realty,Christie's International Real Estate Sereno,157,370131817.0,1976000.0,19.636942675159236,1.0265779589259452
Compass,Carolwood Estates,85,364496127.0,3028333.0,36.258823529411764,0.9962086538760072
Coldwell Banker Realty,eXp Realty of California Inc,255,350641560.0,951000.0,34.70196078431373,0.98740152259674
Coldwell Banker Realty,Keller Williams Realty,227,344356353.0,1099000.0,35.33920704845815,1.0249422258267025
The Beverly Hills Estates,The Beverly Hills Estates,69,344260125.0,2525000.0,62.05797101449275,0.9354752431114023
Coldwell Banker Realty,Sotheby's International Realty,145,343281547.0,1625000.0,58.11724137931034,0.9571572630648236
Compass,Christie's International Real Estate SoCal,75,336003376.0,2200000.0,58.12,0.9582316115294048
The Agency,Coldwell Banker Realty,134,335113689.0,1900000.0,31.888059701492537,0.9942099424186942
Coldwell Banker Realty,The Agency,135,330987235.0,1665000.0,39.851851851851855,0.985312448016724
Deleon Realty,Deleon Realty,66,329648000.0,4402500.0,23.303030303030305,1.036127587130838
Real Broker,Compass,238,323931470.0,1093872.5,28.138655462184875,1.0006731377406965
KW Advisors,,225,317071625.0,1263000.0,24.502222222222223,1.07326958545155
KW Advisors,KW Advisors,190,309057563.0,1350000.0,23.847368421052632,1.0404798522700864
Coldwell Banker Realty,Redfin,197,307222281.0,1375000.0,29.263959390862944,4.605231681678746
Golden Gate Sotheby's International Realty,Compass,104,306451238.0,2340000.0,25.942307692307693,1.020068564382461
Keller Williams Tri-Valley,Keller Williams Tri-Valley,189,306219376.0,1400000.0,13.412698412698413,1.0151936880324013
Christie's International Real Estate Sereno,,188,304690339.0,1377500.0,24.138297872340427,1.0289337900043432
First Team Real Estate,Compass,225,304167254.0,1200000.0,30.32,0.9984675917457799
Equity Union,Compass,222,301566320.47,1115000.0,40.432432432432435,0.976380542888745
KW Advisors,Compass,140,296925739.0,1686750.0,16.6,1.0636842715538286
"Douglas Elliman of California, Inc.",Compass,96,294759361.0,2074500.0,43.125,0.969965381213353
