field,before_row_count,after_row_count,before_median,after_median,median_change,before_mean,after_mean,mean_change
ClosePrice,397601,335254,820000.0,785000.0,-35000.0,1185616.3601253768,898084.1505347884,-287532.20959058846
LivingArea,397374,335254,1641.0,1568.0,-73.0,1904.3514575689398,1673.697779295698,-230.6536782732419
DaysOnMarket,397603,335254,19.0,16.0,-3.0,37.33678820330832,26.375196119956808,-10.961592083351515
